Gene;alias
ACY3;MGC9740
ACY3;ACY-3
ADA2;IDGFL
ADA2;CECR1
ADA2;ADGF
ADAD1;Tenr
ADAD2;TENRL
ADAD2;FLJ00337
ADAM1A;ADAM1
ADAM1A;FTNAP
ADAM1A;PH-30a
ADAM1A;Ftna
ADAM1A;ADAM1P
ADAM2;FTNB
ADAM2;PH-30b
ADAM2;PH30
ADAM2;CT15
ADAM3A;CYRN1
ADAM3A;ADAM3
ADAM3A;tMDCI
ADAM3B;CYRN2
ADAM5;ADAM5P
ADAM5;tMDCII
ADAM6;C14orf96
ADAM6;tMDCIV
ADAM7;GP-83
ADAM7;EAPI
ADAM8;CD156
ADAM8;MS2
ADAM8;CD156a
ADAM9;CORD9
ADAM9;MDC9
ADAM9;KIAA0021
ADAM9;MCMP
ADAM9;Mltng
ADAM10;kuz
ADAM10;MADM
ADAM10;HsT18717
ADAM10;CD156c
ADAM11;MDC
ADAM12;MCMPMltna
ADAM12;MLTN
ADAM15;MDC15
ADAM17;TACE
ADAM17;cSVP
ADAM17;CD156B
ADAM18;tMDCIII
ADAM18;ADAM27
ADAM19;MLTNB
ADAM20P1;C14orf55
ADAM21;ADAM31
ADAM21P1;ADAM21P
ADAM22;MDC2
ADAM23;MDC3
ADAM28;eMDCII
ADAM28;MDC-Lm
ADAM28;MDC-Ls
ADAM28;ADAM23
ADAM29;svph1
ADAM29;CT73
ADAM30;svph4
ADAM33;C20orf153
ADAM33;DKFZp434K0521
ADAM33;dJ964F7.1
ADAMDEC1;M12.219
ADAMTS1;C3-C5
ADAMTS1;METH1
ADAMTS1;KIAA1346
ADAMTS2;ADAMTS-3
ADAMTS2;hPCPNI
ADAMTS2;PCINP
ADAMTS2;ADAM-TS2
ADAMTS2;NPI
ADAMTS3;KIAA0366
ADAMTS3;ADAMTS-4
ADAMTS4;KIAA0688
ADAMTS4;ADAMTS-2
ADAMTS4;ADMP-1
ADAMTS5;ADMP-2
ADAMTS5;ADAMTS11
ADAMTS6;ADAM-TS6
ADAMTS7;ADAM-TS7
ADAMTS7;DKFZp434H204
ADAMTS7P1;ADAMTS7P2
ADAMTS8;METH2
ADAMTS8;FLJ41712
ADAMTS8;ADAM-TS8
ADAMTS9;KIAA1312
ADAMTS10;ADAM-TS10
ADAMTS13;C9orf8
ADAMTS13;VWFCP
ADAMTS13;TTP
ADAMTS13;vWF-CP
ADAMTS13;FLJ42993
ADAMTS13;MGC118899
ADAMTS13;MGC118900
ADAMTS13;DKFZp434C2322
ADAMTS16;ADAMTS16s
ADAMTS17;FLJ32769
ADAMTS17;FLJ16363
ADAMTS18;ADAMTS21
ADAMTS19-AS1;RP11-346A9.1
ADAMTS20;GON-1
ADAMTSL1;C9orf94
ADAMTSL1;ADAMTSR1
ADAMTSL1;FLJ35283
ADAMTSL2;KIAA0605
ADAMTSL3;KIAA1233
ADAMTSL3;punctin-2
ADAMTSL4;TSRC1
ADAMTSL4;DKFZP434K1772
ADAMTSL4-AS1;C1orf138
ADAMTSL4-AS1;FLJ45786
ADAMTSL5;THSD6
ADAP1;CENTA1
ADAP1;GCS1L
ADAP2;CENTA2
ADAR;IFI4
ADAR;G1P1
ADAR;ADAR1
ADARB1;ADAR2
ADARB1;DRADA2
ADARB1;ADAR2g
ADARB1;DRABA2
ADARB1;RED1
ADARB1;hRED1
ADARB1;ADAR2a-L1
ADARB1;ADAR2a-L2
ADARB1;ADAR2a-L3
ADARB1;ADAR2a
ADARB1;ADAR2b
ADARB1;ADAR2c
ADARB1;ADAR2d
ADARB2;RED2
ADARB2;hRED2
ADARB2;ADAR3
ADARB2-AS1;C10orf109
ADARB2-AS1;NCRNA00168
ADARB2-AS1;bA466B20.1
ADAT2;DEADC1
ADAT2;dJ20N2.1
ADAT2;TAD2
ADAT3;TAD3
ADCK1;FLJ39600
ADCK2;MGC20727
ADCK5;FLJ35454
ADCY1;DFNB44
ADCY1;AC1
ADCY2;HBAC2
ADCY2;KIAA1060
ADCY2;AC2
ADCY3;AC3
ADCY4;AC4
ADCY5;AC5
